index,MAE,RMSE,R2 Score
knn_imputed_Ridge.pkl,1.5026779082677308,2.5347273895916618,-412.8222519154255
knn_imputed_Lasso.pkl,0.08049341320056703,0.009209808423515792,-0.5036029819928438
knn_imputed_RandomForest.pkl,0.07744223333333328,0.008638398049999987,-0.41031392514707465
knn_imputed_LinearRegression.pkl,2.009790248400413,4.364369384542219,-711.5315228447328
knn_imputed_XGBoost.pkl,0.06541962888240814,0.0065080172203899065,-0.06250571667195381
knn_imputed_LightGBM.pkl,0.07561738084299403,0.008283254417026526,-0.3523328031715953
imputed_interpolate_LinearRegression.pkl,2.997517775052422,12.69678750099132,-2071.890843144397
imputed_interpolate_Ridge.pkl,2.856342724570501,10.454811614735148,-1705.8635086861243
imputed_interpolate_Lasso.pkl,0.08465965822763799,0.010042096564111208,-0.6394832166871092
imputed_interpolate_RandomForest.pkl,0.09649659845196659,0.013756403695748685,-1.245884894371021
imputed_interpolate_XGBoost.pkl,0.23160432676275566,0.061969866852324945,-9.117265453094527
imputed_interpolate_LightGBM.pkl,0.13008002649739778,0.02246876905326801,-2.6682747997167806
imputed_MICE_LinearRegression.pkl,2.412590121975846,7.401689272016562,-1207.407553057443
imputed_MICE_Ridge.pkl,1.8140507504623642,4.572330167176708,-745.4834183161279
imputed_MICE_Lasso.pkl,0.08896105356835346,0.010943330953775164,-0.7866196883115564
imputed_MICE_RandomForest.pkl,0.08167871161146673,0.009403417347846459,-0.5352117780260723
imputed_MICE_XGBoost.pkl,0.08256395397782325,0.00959729734462838,-0.5668648296319789
imputed_MICE_LightGBM.pkl,0.09260175396579408,0.01168565104030176,-0.9078116441447146
mean_athlete_dataset_LinearRegression.pkl,0.7707143285015914,0.7339197897650129,-118.82051457406652
mean_athlete_dataset_Ridge.pkl,0.0731717933513375,0.008361682378201092,-0.3651370343641349
mean_athlete_dataset_Lasso.pkl,0.08181870310825295,0.009473481355307192,-0.5466505013636107
mean_athlete_dataset_RandomForest.pkl,0.0675943333333333,0.006863684991999994,-0.12057241007093844
mean_athlete_dataset_XGBoost.pkl,0.07318221786816914,0.007814792315083034,-0.2758511891095323
mean_athlete_dataset_LightGBM.pkl,0.07595211399770951,0.008337727683813311,-0.36122616583594414
mode_athlete_dataset_LinearRegression.pkl,0.13771226731952657,0.025840299025284844,-3.2187143188341096
mode_athlete_dataset_Ridge.pkl,0.11959072013977587,0.020038458429587288,-2.271499738510866
mode_athlete_dataset_Lasso.pkl,0.07300969989281883,0.007803831482864797,-0.2740617121464304
mode_athlete_dataset_RandomForest.pkl,0.07389466666666657,0.007934411633333313,-0.2953803644576132
mode_athlete_dataset_XGBoost.pkl,0.06875874950885773,0.007071092930765642,-0.15443404767251256
mode_athlete_dataset_LightGBM.pkl,0.07309733536221881,0.007817823066576957,-0.2763459927769254
median_athlete_dataset_LinearRegression.pkl,0.08979166756151878,0.01198992526475178,-0.9574877731354585
median_athlete_dataset_Ridge.pkl,0.08490062471100875,0.010801646390561795,-0.7634881179299164
median_athlete_dataset_Lasso.pkl,0.07526211146838158,0.008210371679398738,-0.3404338909908453
median_athlete_dataset_RandomForest.pkl,0.07306683333333322,0.007779753316666649,-0.2701306854809882
median_athlete_dataset_XGBoost.pkl,0.06704250908692677,0.006780787760939416,-0.10703852118966961
median_athlete_dataset_LightGBM.pkl,0.07289018656407613,0.0077834567898699535,-0.2707353184001704
em_imputed_LinearRegression.pkl,0.40059040719994327,0.2267008412017639,-36.011417086690486
em_imputed_Ridge.pkl,0.2144409866302297,0.05852327039199113,-8.554570500368724
em_imputed_Lasso.pkl,0.08176136911368302,0.009461850723832217,-0.5447516722714028
em_imputed_RandomForest.pkl,0.06200793488685,0.006190954129738821,-0.010741663972924087
em_imputed_XGBoost.pkl,0.06295844907363256,0.006248540525034787,-0.020143279262569536
em_imputed_LightGBM.pkl,0.06722839450487778,0.006798375370958446,-0.10990989284635022
