,RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,RSI
1572,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1573,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1574,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1575,52.0,57.0,55.0,46.0,4.89,4.33,9.43,89.0,12.0,13.0,3.36,1.0,1.09,0.56,2.69,0.56,1.72,66.0,16.3477,4.33,22.3,11.5,3.89,43.5,0.36
1576,51.0,74.0,96.0,84.0,9.54,8.91,10.63,93.0,14.0,12.0,2.39,5.0,2.36,1.47,5.08,0.64,2.07,66.0,14.502,8.91,24.7,15.4,2.97,42.7,0.36
1577,66.0,43.0,39.0,86.0,8.1,7.53,8.74,93.0,12.0,9.0,0.0,4.0,1.51,1.23,4.79,0.58,0.79,66.0,17.3291,7.53,18.6,15.2,5.81,53.7,0.36
1578,56.0,70.0,76.0,71.0,7.22,6.71,9.47,93.0,12.0,11.0,1.91,6.0,0.97,1.13,4.61,0.52,0.98,74.0,15.7617,6.71,13.4,15.7,4.1,44.8,0.36
1579,59.0,43.0,34.0,81.0,7.29,6.81,8.39,93.0,11.0,10.0,0.0,5.0,2.41,1.67,2.72,0.5,0.69,71.0,18.3398,6.81,33.1,22.9,3.02,41.8,0.36
1580,49.0,48.0,51.0,74.0,7.4,6.43,8.68,87.0,9.0,3.0,0.0,4.0,2.34,1.62,2.47,0.97,0.93,68.0,16.2891,6.43,31.6,21.9,1.81,41.8,0.36
1581,60.0,59.0,49.0,52.0,5.12,4.81,9.26,94.0,12.0,8.0,2.87,3.0,1.95,1.5,1.37,0.32,1.43,69.0,16.9043,4.81,38.1,29.3,3.51,54.2,0.36
1582,54.0,75.0,89.0,73.0,7.86,7.44,10.2,95.0,12.0,11.0,2.87,5.0,2.67,1.43,3.34,0.43,1.84,78.0,14.8438,7.44,34.0,18.2,2.71,43.7,0.36
1583,55.0,65.0,59.0,69.0,7.11,6.65,9.69,94.0,9.0,7.0,2.87,4.0,2.07,0.4,4.18,0.47,1.33,79.0,15.4688,6.65,29.1,5.6,5.54,64.3,0.36
1584,63.0,49.0,29.0,56.0,5.9,5.35,9.54,91.0,9.0,7.0,0.0,4.0,0.84,0.98,3.53,0.56,1.53,80.0,15.9961,5.35,14.2,16.6,2.55,35.5,0.36
1585,50.0,61.0,54.0,57.0,6.16,5.5,9.6,89.0,11.0,9.0,13.46,3.0,1.83,1.07,2.6,0.67,1.68,77.0,14.9414,5.5,29.7,17.4,1.95,41.8,0.36
1586,52.0,54.0,46.0,79.0,7.96,7.41,9.36,93.0,12.0,11.0,0.0,3.0,3.02,1.69,2.7,0.56,1.65,79.0,14.9414,7.41,37.9,21.2,2.81,38.9,0.36
1587,52.0,87.0,79.0,46.0,4.97,4.56,9.95,92.0,12.0,10.0,3.83,2.0,1.53,0.84,2.19,0.42,1.61,59.0,14.917,4.56,31.0,16.6,4.76,47.6,0.36
