,RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,RSI
408,81.0,37.0,12.0,89.0,8.13,7.44,8.4,92.0,17.0,16.0,0.0,5.0,2.14,1.55,3.75,0.69,0.15,60.0,17.754,7.44,26.3,19.1,0.7,31.7,0.378
409,67.0,76.0,50.0,61.0,7.11,6.22,10.27,88.0,13.0,10.0,0.0,5.0,0.95,0.95,4.33,0.89,2.48,62.587,17.129,6.22,13.4,13.4,4.45,50.3,0.378
410,62.0,99.0,58.0,44.0,4.73,4.44,10.07,94.0,7.0,6.0,0.0,2.0,1.54,0.59,2.31,0.3,1.94,56.0,16.289,4.44,32.6,12.5,4.8,50.9,0.378
411,57.0,149.0,87.0,56.0,6.94,6.13,10.87,88.0,13.0,10.0,0.0,3.0,1.01,0.67,4.44,0.82,2.17,73.0,15.986,6.13,14.6,9.7,4.61,50.4,0.378
412,65.0,90.0,59.0,62.0,8.2,6.88,11.17,84.0,19.0,14.0,1.91,7.0,2.31,0.77,3.8,1.33,2.19,75.0,17.227,6.88,28.2,9.4,2.75,31.9,0.378
413,63.0,104.0,74.0,100.0,12.44,11.7,10.57,94.0,14.87,22.0,0.0,7.0,2.72,1.58,7.4,0.76,1.89,46.0,15.879,11.7,21.9,12.7,0.72,19.1,0.378
414,52.0,165.0,95.0,88.0,7.34,6.82,7.79,93.0,13.0,12.0,0.0,4.0,0.59,0.51,5.72,0.53,0.0,50.0,16.289,6.82,8.0,6.9,2.53,51.7,0.378
415,60.0,112.0,66.0,69.0,6.96,6.5,9.43,93.0,14.87,13.0,0.0,2.0,0.94,1.11,4.45,0.47,0.6,72.0,16.538,6.5,13.5,15.9,2.61,31.5,0.378
416,66.0,100.0,52.0,65.0,7.7,6.53,10.1,85.0,11.0,5.0,0.0,6.0,2.06,0.92,3.56,1.17,1.2,56.0,16.956,6.53,26.8,11.9,2.37,29.8,0.378
417,56.0,156.0,90.0,63.0,6.95,6.53,10.31,94.0,14.87,12.0,0.0,2.0,1.21,1.24,4.08,0.43,1.35,66.0,17.08,6.53,17.4,17.8,3.03,48.4,0.378
